Freq.	V(i_sns)	V(v_sns)
8.31763771102674e+01	(-4.13406161491125e+01dB,-9.10271975078648e+01°)	(4.29559723991109e+00dB,-1.02137838434117e+00°)
8.70963589956084e+01	(-4.09407402754995e+01dB,-9.10755969659364e+01°)	(4.29547303787207e+00dB,-1.06950359029015e+00°)
9.12010839355913e+01	(-4.05408764662631e+01dB,-9.11262762231929e+01°)	(4.29533676421935e+00dB,-1.11989566974630e+00°)
9.54992586021439e+01	(-4.01410255809790e+01dB,-9.11793430990412e+01°)	(4.29518755868725e+00dB,-1.17266183290329e+00°)
1.00000000000000e+02	(-3.97411892730196e+01dB,-9.12349085446183e+01°)	(4.29502376714789e+00dB,-1.22791239297467e+00°)
1.04712854805090e+02	(-3.93413684346823e+01dB,-9.12930899386026e+01°)	(4.29484449647637e+00dB,-1.28576406064816e+00°)
1.09647819614319e+02	(-3.89415651750453e+01dB,-9.13540103401088e+01°)	(4.29464763668784e+00dB,-1.34633919556972e+00°)
1.14815362149689e+02	(-3.85417806719671e+01dB,-9.14177999435210e+01°)	(4.29443200893027e+00dB,-1.40976725968938e+00°)
1.20226443461742e+02	(-3.81420171397707e+01dB,-9.14845917465055e+01°)	(4.29419539779230e+00dB,-1.47618048372634e+00°)
1.25892541179417e+02	(-3.77422763791241e+01dB,-9.15545265195418e+01°)	(4.29393600141302e+00dB,-1.54571883506861e+00°)
1.31825673855641e+02	(-3.73425603983117e+01dB,-9.16277548741654e+01°)	(4.29365181020080e+00dB,-1.61853208431571e+00°)
1.38038426460289e+02	(-3.69428719815369e+01dB,-9.17044279215074e+01°)	(4.29334003851890e+00dB,-1.69477046203995e+00°)
1.44543977074593e+02	(-3.65432132791603e+01dB,-9.17847094697655e+01°)	(4.29299853443564e+00dB,-1.77459685438117e+00°)
1.51356124843621e+02	(-3.61435878602954e+01dB,-9.18687660985190e+01°)	(4.29262372711491e+00dB,-1.85817687541246e+00°)
1.58489319246112e+02	(-3.57439981641444e+01dB,-9.19567779860109e+01°)	(4.29221317546532e+00dB,-1.94568969238106e+00°)
1.65958690743757e+02	(-3.53444481959403e+01dB,-9.20489285210765e+01°)	(4.29176287218229e+00dB,-2.03731763547536e+00°)
1.73780082874938e+02	(-3.49449414174811e+01dB,-9.21454121583629e+01°)	(4.29126935319575e+00dB,-2.13325405082143e+00°)
1.81970085860999e+02	(-3.45454823348796e+01dB,-9.22464301040351e+01°)	(4.29072810990098e+00dB,-2.23369898381750e+00°)
